Game Name,Game Name, Platform,Sales in Europe(millions),Sales in Japan(millions),Sales in North America(millions),Sales in the rest world(millions),Total Worldwide Sales(millions)
Resident Evil 5,Game: Resident Evil 5, Platform: PS3,1.43,1.08,1.96,0.65,5.11
Grand Theft Auto V,Game: Grand Theft Auto V, Platform: XOne,2.01,0,2.66,0.41,5.08
Grand Theft Auto: Vice City Stories,Game: Grand Theft Auto: Vice City Stories, Platform: PSP,2.02,0.16,1.7,1.21,5.08
FIFA Soccer 11,Game: FIFA Soccer 11, Platform: PS3,3.29,0.06,0.6,1.13,5.08
Super Mario Bros.,Game: Super Mario Bros., Platform: GB,1.3,0.15,3.4,0.22,5.07
Resident Evil,Game: Resident Evil, Platform: PS,1.16,1.11,2.05,0.73,5.05
Tony Hawk's Pro Skater,Game: Tony Hawk's Pro Skater, Platform: PS,1.38,0.02,3.42,0.2,5.02
Super Smash Bros. for Wii U and 3DS,Game: Super Smash Bros. for Wii U and 3DS, Platform: WiiU,1.06,0.8,2.59,0.57,5.02
Warzone 2100,Game: Warzone 2100, Platform: PS,1.89,0,2.79,0.33,5.01
Spyro the Dragon,Game: Spyro the Dragon, Platform: PS,1.36,0.07,3.36,0.21,5
Link's Crossbow Training,Game: Link's Crossbow Training, Platform: Wii,1.18,0.29,3.06,0.46,5
Guitar Hero III: Legends of Rock,Game: Guitar Hero III: Legends of Rock, Platform: PS2,0.01,0.01,3.49,1.48,4.98
Fallout 3,Game: Fallout 3, Platform: X360,1.03,0.09,3.39,0.44,4.96
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Game: Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness, Platform: DS,1.2,1.54,1.85,0.37,4.96
Uncharted: Drake's Fortune,Game: Uncharted: Drake's Fortune, Platform: PS3,1.73,0.12,2.31,0.78,4.94
Madden NFL 06,Game: Madden NFL 06, Platform: PS2,0.26,0.01,3.98,0.66,4.91
LEGO Star Wars: The Complete Saga,Game: LEGO Star Wars: The Complete Saga, Platform: DS,1.54,0,2.89,0.46,4.9
Diddy Kong Racing,Game: Diddy Kong Racing, Platform: N64,0.99,0.89,2.91,0.1,4.88
Monster Hunter Freedom 3,Game: Monster Hunter Freedom 3, Platform: PSP,0,4.87,0,0,4.87
Dr. Mario,Game: Dr. Mario, Platform: NES,0.6,1.52,2.62,0.1,4.85
God of War III,Game: God of War III, Platform: PS3,1.36,0.12,2.74,0.63,4.84
StarCraft II: Wings of Liberty,Game: StarCraft II: Wings of Liberty, Platform: PC,1.68,0,2.56,0.59,4.83
Assassin's Creed,Game: Assassin's Creed, Platform: PS3,2,0.09,1.91,0.83,4.83
FIFA 15,Game: FIFA 15, Platform: PS3,3.14,0.04,0.57,1.07,4.82
Crash Team Racing,Game: Crash Team Racing, Platform: PS,1.57,0.44,2.57,0.21,4.79
FIFA 17,Game: FIFA 17, Platform: PS4,3.75,0.06,0.28,0.69,4.77
Batman: Arkham City,Game: Batman: Arkham City, Platform: X360,1.31,0.04,2.99,0.41,4.76
Driver 2,Game: Driver 2, Platform: PS,2.1,0.02,2.36,0.25,4.73
The Simpsons: Hit & Run,Game: The Simpsons: Hit & Run, Platform: PS2,2.19,0,1.73,0.79,4.7
Tony Hawk's Pro Skater 2,Game: Tony Hawk's Pro Skater 2, Platform: PS,1.41,0.02,3.05,0.2,4.68
Animal Crossing: City Folk,Game: Animal Crossing: City Folk, Platform: Wii,1.12,1.32,1.87,0.37,4.68
The Lord of the Rings: The Two Towers,Game: The Lord of the Rings: The Two Towers, Platform: PS2,1.95,0.08,1.94,0.7,4.67
Forza Motorsport 4,Game: Forza Motorsport 4, Platform: X360,2.04,0.06,2.08,0.47,4.64
Tomb Raider,Game: Tomb Raider, Platform: PS,1.97,0.13,2.29,0.24,4.63
Guitar Hero III: Legends of Rock,Game: Guitar Hero III: Legends of Rock, Platform: Wii,1.12,0,3.06,0.44,4.62
The Legend of Zelda: A Link to the Past,Game: The Legend of Zelda: A Link to the Past, Platform: SNES,0.91,1.15,2.42,0.13,4.61
The Legend of Zelda: The Wind Waker,Game: The Legend of Zelda: The Wind Waker, Platform: GC,0.99,0.89,2.6,0.13,4.6
Mario & Sonic at the Olympic Winter Games,Game: Mario & Sonic at the Olympic Winter Games, Platform: Wii,1.99,0.22,1.89,0.48,4.58
Luigi's Mansion: Dark Moon,Game: Luigi's Mansion: Dark Moon, Platform: 3DS,1.39,1.1,1.78,0.3,4.58
Splatoon,Game: Splatoon, Platform: WiiU,1.15,1.44,1.55,0.43,4.57
The Last of Us,Game: The Last of Us, Platform: PS4,1.87,0.07,1.78,0.82,4.55
Guitar Hero III: Legends of Rock,Game: Guitar Hero III: Legends of Rock, Platform: X360,0.92,0.01,3.19,0.42,4.53
Madden NFL 2005,Game: Madden NFL 2005, Platform: PS2,0.26,0.01,4.18,0.08,4.53
Pitfall!,Game: Pitfall!, Platform: 2600,0.24,0,4.21,0.05,4.5
Madden NFL 07,Game: Madden NFL 07, Platform: PS2,0.24,0.01,3.63,0.61,4.49
Spider-Man: The Movie,Game: Spider-Man: The Movie, Platform: PS2,1.51,0.03,2.71,0.23,4.48
Dragon Quest VII: Warriors of Eden,Game: Dragon Quest VII: Warriors of Eden, Platform: PS,0.14,4.1,0.2,0.02,4.47
Uncharted: The Nathan Drake Collection,Game: Uncharted: The Nathan Drake Collection, Platform: PS4,1.69,0.08,1.96,0.74,4.47
Call of Duty: Advanced Warfare,Game: Call of Duty: Advanced Warfare, Platform: PS3,1.94,0.19,1.54,0.77,4.45
God of War,Game: God of War, Platform: PS2,1.29,0.02,2.71,0.43,4.45
Nintendo Land,Game: Nintendo Land, Platform: WiiU,1.11,0.46,2.55,0.33,4.44
Michael Jackson: The Experience,Game: Michael Jackson: The Experience, Platform: Wii,1.35,0.01,2.67,0.39,4.42
Tony Hawk's Pro Skater 3,Game: Tony Hawk's Pro Skater 3, Platform: PS2,1.29,0.01,2.66,0.46,4.41
Winning Eleven: Pro Evolution Soccer 2007,Game: Winning Eleven: Pro Evolution Soccer 2007, Platform: PS2,2.39,1.05,0.1,0.86,4.39
The Elder Scrolls IV: Oblivion,Game: The Elder Scrolls IV: Oblivion, Platform: X360,1.05,0.13,2.82,0.4,4.39
Zelda II: The Adventure of Link,Game: Zelda II: The Adventure of Link, Platform: NES,0.5,1.61,2.19,0.08,4.38
Need for Speed: Most Wanted,Game: Need for Speed: Most Wanted, Platform: PS2,1.79,0.08,2.03,0.47,4.37
Resistance: Fall of Man,Game: Resistance: Fall of Man, Platform: PS3,1.73,0.14,1.73,0.75,4.35
Sonic the Hedgehog,Game: Sonic the Hedgehog, Platform: GEN,0.91,0.26,3.03,0.13,4.34
